_id,Mechanism of Action,References,Creation Date,Update Date
56,Cyanide inhibits tyrosinase. (A77) ,"A77 - Laufer Z, Beckett RP, Minibayeva FV: Co-occurrence of the multicopper oxidases tyrosinase and laccase in lichens in sub-order peltigerineae. Ann Bot. 2006 Nov;98(5):1035-42. Epub 2006 Sep 1. (16950829)",2009-04-14 21:08:37 UTC,2014-09-04 16:11:29 UTC
57,Hexachlorocyclohexane acts as an endocrine disruptor by inhibiting estrogen-related receptor gamma. (A60),"A60 - Li J, Li N, Ma M, Giesy JP, Wang Z: In vitro profiling of the endocrine disrupting potency of organochlorine pesticides. Toxicol Lett. 2008 Dec 15;183(1-3):65-71. doi: 10.1016/j.toxlet.2008.10.002. Epub 2008 Oct 17. (18992306)",2009-04-14 21:08:37 UTC,2014-09-04 16:06:46 UTC
58,Hexachlorocyclohexane acts as an endocrine disruptor by inhibiting the androgen receptor. (A60),"A60 - Li J, Li N, Ma M, Giesy JP, Wang Z: In vitro profiling of the endocrine disrupting potency of organochlorine pesticides. Toxicol Lett. 2008 Dec 15;183(1-3):65-71. doi: 10.1016/j.toxlet.2008.10.002. Epub 2008 Oct 17. (18992306)",2009-04-14 21:08:37 UTC,2014-09-04 16:05:37 UTC
59,Hexachlorocyclohexane acts as an endocrine disruptor by inhibiting the progesterone receptor. (A60),"A60 - Li J, Li N, Ma M, Giesy JP, Wang Z: In vitro profiling of the endocrine disrupting potency of organochlorine pesticides. Toxicol Lett. 2008 Dec 15;183(1-3):65-71. doi: 10.1016/j.toxlet.2008.10.002. Epub 2008 Oct 17. (18992306)",2009-04-14 21:08:37 UTC,2014-09-04 16:06:19 UTC
60,"Cobalt inhibits carbonic anhydrases.(A38, A98)","A38 - Ekinci D, Beydemir S, Kufrevioglu OI: In vitro inhibitory effects of some heavy metals on human erythrocyte carbonic anhydrases. J Enzyme Inhib Med Chem. 2007 Dec;22(6):745-50. doi: 10.1080/14756360601176048 . (18237030)
A98 - Ul-Hassan M, Scozzafava A, Chohan ZH, Supuran CT: Carbonic anhydrase inhibitors: metal complexes of a sulfanilamide derived Schiff base and their interaction with isozymes I, II and IV. J Enzyme Inhib. 2001 Dec;16(6):499-505. (12164389)",2009-04-14 21:08:38 UTC,2014-09-04 16:09:40 UTC
61,"Nickel is known to substitute for other essential elements in certain enzmes, such as calcineurin. (A40)","A40 - King MM, Huang CY: Activation of calcineurin by nickel ions. Biochem Biophys Res Commun. 1983 Aug 12;114(3):955-61. (6311199)",2009-04-14 21:08:38 UTC,2014-09-04 16:11:25 UTC
62,"Nickel has a high affinity for chromatin proteins, particularly histones and protamines. The complexing of nickel ions with heterochromatin results in a number of alterations including condensation, DNA hypermethylation, gene silencing, and inhibition of histone acetylation, which have been shown to disturb gene expression. (L41)",L41 - ATSDR - Agency for Toxic Substances and Disease Registry (2005). Toxicological profile for nickel. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp15.html),2009-04-14 21:08:38 UTC,2014-09-04 16:07:37 UTC
63,"Endosulfan antagonizes the action of the neurotransmitter gamma-aminobutyric acid (GABA) acting at the GABA-A receptors, effectively blocking the GABA-induced uptake of chloride ions. (L114)",L114 - ATSDR - Agency for Toxic Substances and Disease Registry (2000). Toxicological profile for endosulfan. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp41.html),2009-04-14 21:08:38 UTC,2014-09-04 16:05:42 UTC
64,"Endosulfan inhibits Na+ K+ ATPase and Ca2+ and Mg2+ ATPase, which are essential for the transport of calcium across membranes. This results in the accumulation of intracellular free calcium ions, which promotes release of neurotransmitters from storage vesicles, the subsequent depolarization of adjacent neurons, and the propagation of stimuli throughout the CNS. This results in hyperexcitation and generalized seizures. (L114)",L114 - ATSDR - Agency for Toxic Substances and Disease Registry (2000). Toxicological profile for endosulfan. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp41.html),2009-04-14 21:08:38 UTC,2014-09-04 16:05:26 UTC
65,Endosulfan is an endocrine disruptor and acts as an agonist at the progesterone receptor. (A114),"A114 - Scippo ML, Argiris C, Van De Weerdt C, Muller M, Willemsen P, Martial J, Maghuin-Rogister G: Recombinant human estrogen, androgen and progesterone receptors for detection of potential endocrine disruptors. Anal Bioanal Chem. 2004 Feb;378(3):664-9. Epub 2003 Oct 25. (14579009)",2009-04-14 21:08:38 UTC,2014-09-04 16:06:20 UTC
66,"Endosulfan sulfate antagonizes the action of the neurotransmitter gamma-aminobutyric acid (GABA) acting at the GABA-A receptors, effectively blocking the GABA-induced uptake of chloride ions. (L114)",L114 - ATSDR - Agency for Toxic Substances and Disease Registry (2000). Toxicological profile for endosulfan. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp41.html),2009-04-14 21:08:38 UTC,2014-09-04 16:05:42 UTC
67,"Endosulfan sulfate inhibits Na+ K+ ATPase and Ca2+ and Mg2+ ATPase, which are essential for the transport of calcium across membranes. This results in the accumulation of intracellular free calcium ions, which promotes release of neurotransmitters from storage vesicles, the subsequent depolarization of adjacent neurons, and the propagation of stimuli throughout the CNS. This results in hyperexcitation and generalized seizures. (L114)",L114 - ATSDR - Agency for Toxic Substances and Disease Registry (2000). Toxicological profile for endosulfan. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp41.html),2009-04-14 21:08:38 UTC,2014-09-04 16:05:26 UTC
68,Endosulfan sulfate is an endocrine disruptor and acts as an agonist at the progesterone receptor. (A114),"A114 - Scippo ML, Argiris C, Van De Weerdt C, Muller M, Willemsen P, Martial J, Maghuin-Rogister G: Recombinant human estrogen, androgen and progesterone receptors for detection of potential endocrine disruptors. Anal Bioanal Chem. 2004 Feb;378(3):664-9. Epub 2003 Oct 25. (14579009)",2009-04-14 21:08:38 UTC,2014-09-04 16:06:20 UTC
69,"Inhibition of sperm carbohydrate metabolism at the step of nicotinamide adenine dinucleotide (NADH) dehydrogenase activity in the mitochondrial electron transport chain is a factor of 1,2-dibromo-3-chloropropane's testicular toxicity. ","A13 - Greenwell A, Tomaszewski KE, Melnick RL: A biochemical basis for 1,2-dibromo-3-chloropropane-induced male infertility: inhibition of sperm mitochondrial electron transport activity. Toxicol Appl Pharmacol. 1987 Nov;91(2):274-80. (3672526)",2009-04-14 21:08:39 UTC,2014-09-04 16:11:25 UTC
70,"Like DDT, methoxychlor may also inhibit neuronal adenosine triphosphatases (ATPases), particularly Na+K+-ATPase and Ca2+-ATPase, which play vital roles in neuronal repolarization. This contributes to the reduced rate of depolarization and increases the sensitivity of neurons to small stimuli that would not elicit a response in a fully depolarized neuron. (T10, A118)","A118 - Gaido KW, Maness SC, McDonnell DP, Dehal SS, Kupfer D, Safe S: Interaction of methoxychlor and related compounds with estrogen receptor alpha and beta, and androgen receptor: structure-activity studies. Mol Pharmacol. 2000 Oct;58(4):852-8. (10999957)
T10 - Casarett LJ, Klaassen CD, and Watkins JB (2003). Casarett and Doull's essentials of toxicology. New York: McGraw-Hill/Medical Pub. Div. ",2009-04-14 21:08:39 UTC,2014-09-04 16:05:26 UTC
71,"Unbalanced levels of copper and zinc binding to Cu,Zn-superoxide dismutase has been linked to amyotrophic lateral sclerosis (ALS). (A49)","A49 - Vonk WI, Klomp LW: Role of transition metals in the pathogenesis of amyotrophic lateral sclerosis. Biochem Soc Trans. 2008 Dec;36(Pt 6):1322-8. doi: 10.1042/BST0361322. (19021549)
A10094 - Huang YH, Shih CM, Huang CJ, Lin CM, Chou CM, Tsai ML, Liu TP, Chiu JF, Chen CT: Effects of cadmium on structure and enzymatic activity of Cu,Zn-SOD and oxidative status in neural cells. J Cell Biochem. 2006 Jun 1;98(3):577-89. (16440303)",2009-04-14 21:08:39 UTC,2014-09-04 16:11:05 UTC
72,"Hexachlorobenzene causes porphyria by modifying sulfhydryl groups in the catalytic or substrate-binding sites of uroporphyrinogen decarboxylase. This inhibits uroporphyrinogen decarboxylase, resulting in a deficiency of the decarboxylation of uroporphyrinogen III and accumulation of uroporphyrins in the liver. (A156)","A156 - Chaufan G, Rios de Molina MC, San Martin de Viale LC: How does hexachlorobenzene treatment affect liver uroporphyrinogen decarboxylase? Int J Biochem Cell Biol. 2001 Jun;33(6):621-30. (11378443)",2009-04-14 21:08:39 UTC,2014-09-04 16:08:47 UTC
73,"Mercury inhibits the protein LCK, which causes decreased T-cell signalling and immune system depression. (A25)","A25 - Ziemba SE, Menard SL, McCabe MJ Jr, Rosenspire AJ: T-cell receptor signaling is mediated by transient Lck activity, which is inhibited by inorganic mercury. FASEB J. 2009 Jun;23(6):1663-71. doi: 10.1096/fj.08-117283. Epub 2009 Jan 23. (19168706)",2009-04-14 21:08:39 UTC,2014-09-04 16:09:41 UTC
74,"Organic mercury exerts developmental effects by binding to tubulin, preventing microtubule assembly and causing mitotic inhibition. (L7)","A15095 - Vogel DG, Margolis RL, Mottet NK. ""The effects of methyl mercury binding to microtubules"". Toxicol Appl Pharmacol. 1985 Sep 30;80(3):473-86. (4035699)
L7 - ATSDR - Agency for Toxic Substances and Disease Registry (2008). Toxicological profile for mercury. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp46.html)",2009-04-14 21:08:39 UTC,2014-09-04 16:11:50 UTC
75,"Mercury is known to inhibit aquaporins, halting water flow across the cell membrane and resulting in cell injury and death. (A26)","A26 - Yukutake Y, Tsuji S, Hirano Y, Adachi T, Takahashi T, Fujihara K, Agre P, Yasui M, Suematsu M: Mercury chloride decreases the water permeability of aquaporin-4-reconstituted proteoliposomes. Biol Cell. 2008 Jun;100(6):355-63. doi: 10.1042/BC20070132. (18167118)",2009-04-14 21:08:39 UTC,2014-09-04 16:12:09 UTC
76,"Difocol inhibits the ability of calmodulin, a calcium mediator in nerves, to transport calcium ions that are essential for the release of neurotransmitters. This reduces the rate of depolarization and increases the sensitivity of neurons to small stimuli that would not elicit a response in a fully depolarized neuron. (T10) ","T10 - Casarett LJ, Klaassen CD, and Watkins JB (2003). Casarett and Doull's essentials of toxicology. New York: McGraw-Hill/Medical Pub. Div. ",2009-04-14 21:08:40 UTC,2014-09-04 16:05:11 UTC
77,Difocol is also an endocrine disruptor and binds both the androgen and estrogen receptor. (A214),"A214 - Okubo T, Yokoyama Y, Kano K, Soya Y, Kano I: Estimation of estrogenic and antiestrogenic activities of selected pesticides by MCF-7 cell proliferation assay. Arch Environ Contam Toxicol. 2004 May;46(4):445-53. (15253041)",2009-04-14 21:08:40 UTC,2014-09-04 16:05:37 UTC
78,"Hexachlorocyclohexane is a neurotoxin that interferes with GABA neurotransmitter function by interacting with the GABA-A receptor-chloride channel complex at the picrotoxin binding site, causing over stimulation of the central nervous system. (L108)",L108 - ATSDR - Agency for Toxic Substances and Disease Registry (2005). Toxicological profile for hexachlorocyclohexane. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp43.html),2009-04-14 21:08:40 UTC,2014-09-04 16:05:42 UTC
79,"Hexachlorocyclohexane inhibits sodium/potassium-transporting ATPases, reducing the rate of depolarization and increasing the sensitivity of neurons. (L108) ",L108 - ATSDR - Agency for Toxic Substances and Disease Registry (2005). Toxicological profile for hexachlorocyclohexane. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp43.html),2009-04-14 21:08:40 UTC,2014-09-04 16:05:26 UTC
80,"DDD inhibits neuronal adenosine triphosphatases (ATPases), particularly Na+K+-ATPase, and Ca2+-ATPase which play vital roles in neuronal repolarization. This reduces the rate of depolarization and increases the sensitivity of neurons to small stimuli that would not elicit a response in a fully depolarized neuron. (T10) ","T10 - Casarett LJ, Klaassen CD, and Watkins JB (2003). Casarett and Doull's essentials of toxicology. New York: McGraw-Hill/Medical Pub. Div. ",2009-04-14 21:08:40 UTC,2014-09-04 16:05:26 UTC
81,Arsenic binds to actin. (A16),"A16 - Menzel DB, Hamadeh HK, Lee E, Meacher DM, Said V, Rasmussen RE, Greene H, Roth RN: Arsenic binding proteins from human lymphoblastoid cells. Toxicol Lett. 1999 Mar 29;105(2):89-101. (10221271)",2009-04-14 21:08:40 UTC,2014-09-04 16:05:03 UTC
82,"Arsine enters the bloodstream and crosses the alveolo-capillary membrane into red blood cells. Here it preferentially binds to hemoglobin and is oxidized to an arsenic dihydride intermediate and elemental arsenic, both of which are hemolytic agents. Arsine also depletes the reduced glutathione content of the red blood cells, resulting in the oxidation of sulfhydryl groups in hemoglobin and red cell membranes. These effects produce membrane instability, resulting in hemolysis. (L11)",L11 - ATSDR - Agency for Toxic Substances and Disease Registry (2007). Medical Management Guidelines for Arsine. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/MHMI/mmg169.html),2009-04-14 21:08:40 UTC,2014-09-04 15:56:28 UTC
83,"Arsine may inhibit catalase, which leads to the accumulation of hydrogen peroxide. This destroys red cell membranes and may contribute to arsine-induced conversion of Fe+2 to Fe+3, which also impairs oxygen transport. (L11)",L11 - ATSDR - Agency for Toxic Substances and Disease Registry (2007). Medical Management Guidelines for Arsine. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/MHMI/mmg169.html),2009-04-14 21:08:40 UTC,2014-09-04 16:12:43 UTC
84,Cyanide inhibits catalase. (A74),"A74 - Kang YS, Lee DH, Yoon BJ, Oh DC: Purification and characterization of a catalase from photosynthetic bacterium Rhodospirillum rubrum S1 grown under anaerobic conditions. J Microbiol. 2006 Apr;44(2):185-91. (16728955)",2009-04-14 21:08:41 UTC,2014-09-04 16:12:43 UTC
85,1-Methylnaphthalene binds to cellular tumor antigen p53.,,2009-04-14 21:08:41 UTC,2014-09-04 16:09:22 UTC
86,"Toluene binds to cardiac Na+ channels in the open state and unbinds either when channels move between inactivated states or from an inactivated to a closed state. The use- and frequency-dependent block of Na+ by toluene might be responsible, at least in part, for its arrhythmogenic effect. (A64)","A64 - Cruz SL, Orta-Salazar G, Gauthereau MY, Millan-Perez Pena L, Salinas-Stefanon EM: Inhibition of cardiac sodium currents by toluene exposure. Br J Pharmacol. 2003 Oct;140(4):653-60. (14534149)",2009-05-01 21:05:29 UTC,2014-09-04 16:13:01 UTC
87,"DDT inhibits the inactivation of voltaged-gated sodium channels. The channels activate (open) normally but are inactivated (closed) slowly, thus interfering with the active transport of sodium out of the nerve axon during repolarization and resulting in a state of hyperexcitability. (A99)","A99 - Davies TG, Field LM, Usherwood PN, Williamson MS: DDT, pyrethrins, pyrethroids and insect sodium channels. IUBMB Life. 2007 Mar;59(3):151-62. (17487686)",2009-05-04 16:24:15 UTC,2014-09-04 16:07:49 UTC
88,"DDE inhibits the inactivation of voltaged-gated sodium channels. The channels activate (open) normally but are inactivated (closed) slowly, thus interfering with the active transport of sodium out of the nerve axon during repolarization and resulting in a state of hyperexcitability. (A99)","A99 - Davies TG, Field LM, Usherwood PN, Williamson MS: DDT, pyrethrins, pyrethroids and insect sodium channels. IUBMB Life. 2007 Mar;59(3):151-62. (17487686)",2009-05-04 16:26:05 UTC,2014-09-04 16:07:49 UTC
